"Time (s)","Sound pressure level (dB)"
0.000000000E0,-∞
1.056442690E-1,-∞
2.078705770E-1,-∞
3.143658080E-1,-9.844084745E1
4.242224610E-1,-8.696949066E1
5.430757690E-1,-8.509325966E1
6.625466540E-1,-8.014075376E1
8.130006530E-1,-7.649423780E1
9.579917690E-1,-6.771674430E1
1.073741346E0,-7.203008508E1
1.368272307E0,-6.999893904E1
1.485150768E0,-8.051029157E1
1.605536384E0,-8.389508396E1
1.724805961E0,-8.138967694E1
1.845393076E0,-1.890666928E1
1.969730960E0,-1.066538090E1
2.101737460E0,-2.654102310E1
2.225610537E0,-3.744590837E1
2.345632652E0,-3.671272622E1
2.483219422E0,-3.825893175E1
2.608404460E0,-3.836893823E1
2.729023152E0,-5.608136290E1
2.849652921E0,-7.088492863E1
2.974363306E0,-7.151811162E1
3.092059806E0,-7.405600283E1
3.214168767E0,-7.102444272E1
3.332801729E0,-7.414319340E1
3.449395382E0,-6.557072410E1
3.569523844E0,-5.418276167E1
3.683167959E0,-3.823407548E1
3.814403536E0,-3.127725479E1
3.965710997E0,-3.499769289E1
4.094352228E0,-4.543879486E1
4.225101959E0,-6.006342544E1
4.355887574E0,-7.370944075E1
4.478425036E0,-7.394591713E1
4.606628843E0,-7.456420063E1
4.727690689E0,-7.487509647E1
4.850904189E0,-7.068339162E1
4.974742766E0,-7.476991571E1
5.091963727E0,-7.566242688E1
5.206751843E0,-7.496582850E1
5.349253689E0,-7.459215296E1
5.481511073E0,-7.123667711E1
5.597244650E0,-5.108163775E1
5.717145073E0,-4.223626690E1
5.838636419E0,-3.229140758E1
5.963920458E0,-4.236825768E1
6.082527073E0,-5.007829760E1
6.203152727E0,-5.790410736E1
6.318730111E0,-6.084446991E1
6.435346073E0,-6.541519781E1
6.554879419E0,-7.230391858E1
6.688156072E0,-7.432880364E1
6.813914803E0,-7.396195939E1
6.937822034E0,-7.515561501E1
7.062089264E0,-7.466401481E1
7.182165495E0,-7.458565662E1
7.303615418E0,-7.321785446E1
7.428019072E0,-7.474014680E1
7.547323303E0,-7.477178622E1
7.668355072E0,-7.357341422E1
7.789126764E0,-5.794699250E1
7.925049072E0,-5.756336503E1
8.058154148E0,-7.208121765E1
8.181710879E0,-7.460147811E1
8.304109841E0,-7.516191666E1
8.423930917E0,-7.024437393E1
8.552161994E0,-6.904139565E1
8.676281148E0,-3.293455466E1
8.798187071E0,-2.424535956E1
8.920033379E0,-3.060893312E1
9.040109802E0,-2.932843071E1
9.153991109E0,-2.632666985E1
9.299450994E0,-4.183268802E1
9.415865301E0,-4.766522495E1
9.534471263E0,-6.015700664E1
9.653479224E0,-6.309786856E1
9.777419916E0,-7.327870151E1
9.895970032E0,-7.205993399E1
1.001808249E1,-7.289029640E1
1.013974576E1,-7.457457712E1
1.025442957E1,-7.445340448E1
1.037444565E1,-7.422173316E1
1.051009661E1,-7.512122801E1
